CODE_VALUE;CODE_LABEL
99980;Missing - other reason
99981;Missing - exclusion criteria
99982;Missing - refusal
99983;Missing - not assessable 
99984;Missing - technical problem
99985;Missing - not available (material)
99986;Missing - not usable (material)
99987;Missing - reason unknown
99988;Missing - optional value
99989;Deleted - other reason
99990;Deleted - contradiction
99991;Deleted - value outside limits
99992;Inaccurate - other reason
99993;Inaccurate - value above detection limit
99994;Inaccurate - value below detection limit
99995;Data management ongoing
